"nazwa","pojemnosc","waga","cena","liczba_opinii","ocena_klientow","status_opinii"
"Lodówka1",20,15,250,50,3.5,"mniej 50 opinii"
"Lodówka2",25,18,280,60,0,"mniej 50 opinii"
"Lodówka3",30,20,300,70,0.5,"mniej 50 opinii"
"Lodówka4",22,16,260,55,2.5,"mniej 50 opinii"
"Lodówka5",28,19,290,65,3.5,"mniej 50 opinii"
"Lodówka6",32,22,320,75,5,"mniej 50 opinii"
"Lodówka7",18,14,240,45,1,"nie ma"
"Lodówka8",23,17,270,55,0.5,"mniej 50 opinii"
"Lodówka9",26,19,295,62,1.5,"mniej 50 opinii"
"Lodówka10",21,15,255,48,3,"nie ma"
"Lodówka11",24,17,275,58,3.5,"mniej 50 opinii"
"Lodówka12",27,20,305,68,3.5,"mniej 50 opinii"
"Lodówka13",29,21,310,72,0.5,"mniej 50 opinii"
"Lodówka14",31,23,330,80,3,"mniej 50 opinii"
"Lodówka15",19,13,235,42,2.5,"nie ma"
"Nowa Lodówka",33,24,340,50,4.5,"mniej 50 opinii"
"Nowa_Lodówka_1",26,17,285,55,0.5,"mniej 50 opinii"
"Nowa_Lodówka_2",29,20,310,65,3,"mniej 50 opinii"
"Nowa_Lodówka_3",30,21,320,70,3,"mniej 50 opinii"
"Nowa_Lodówka_4",31,22,330,75,0,"mniej 50 opinii"
"lodówka turystyczna 16",55,23,1150,85,2,"mniej 50 opinii"
"lodówka turystyczna 17",65,27,1200,95,4,"mniej 50 opinii"
"lodówka turystyczna 18",60,25,1150,100,1,"50-100 opinii"
"lodówka turystyczna 19",63,29,1180,105,3,"50-100 opinii"
"lodówka turystyczna 16",55,23,1150,85,4,"mniej 50 opinii"
"lodówka turystyczna 17",65,27,1200,95,2.5,"mniej 50 opinii"
"lodówka turystyczna 18",60,25,1150,100,3.5,"50-100 opinii"
"lodówka turystyczna 19",63,29,1180,105,1,"50-100 opinii"
